12/20/22 2:10:51: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:10:57: style.scss - Undefined variable $h1-size: style.scss on line 36, at column 11
12/20/22 2:11:50: style.scss - Undefined variable $navcolor: style.scss on line 57, at column 4
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:11:50: style.scss - Undefined variable $navcolor: style.scss on line 57, at column 4
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:11:50: style.scss - Undefined variable $h3-size: style.scss on line 58, at column 4
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:11:52: style.scss - Undefined variable $h3-size: style.scss on line 58, at column 4
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:12:07: style.scss - Undefined variable $h3-size: style.scss on line 58, at column 4
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:12:51: style.scss - Undefined variable $navhilitecolor: style.scss on line 60, at column 13
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:13:00: style.scss - Undefined variable $navhilitecolor: style.scss on line 60, at column 13
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:13:00: style.scss - Undefined variable $navhilitecolor: style.scss on line 60, at column 13
Call Stack:
#0 mixin menuitem style.scss on line 149
#1 mixin navbar style.scss on line 165
12/20/22 2:13:00: style.scss - Undefined variable $font-family: style.scss on line 167, at column 3
12/20/22 2:14:00: style.scss - Undefined variable $font-family: style.scss on line 167, at column 3
12/20/22 2:14:07: style.scss - Undefined variable $font-family: style.scss on line 167, at column 3
12/20/22 2:15:00: style.scss - Undefined variable $font-size: style.scss on line 168, at column 3
12/20/22 2:15:01: style.scss - Undefined variable $font-size: style.scss on line 168, at column 3
12/20/22 2:15:01: style.scss - Undefined variable $font-size: style.scss on line 168, at column 3
12/20/22 2:15:01: style.scss - Undefined variable $line-height: style.scss on line 169, at column 3
12/20/22 2:15:17: style.scss - Undefined variable $line-height: style.scss on line 169, at column 3
12/20/22 2:15:18: style.scss - Undefined variable $line-height: style.scss on line 169, at column 3
12/20/22 2:15:18: style.scss - Undefined variable $letterspacing: style.scss on line 170, at column 3
12/20/22 2:15:36: style.scss - Undefined variable $letterspacing: style.scss on line 170, at column 3
12/20/22 2:15:36: style.scss - Undefined variable $letterspacing: style.scss on line 170, at column 3
12/20/22 2:15:36: style.scss - Undefined variable $font-color: style.scss on line 172, at column 3
12/20/22 2:15:52: style.scss - Undefined variable $font-color: style.scss on line 172, at column 3
12/20/22 2:15:53: style.scss - Undefined variable $font-color: style.scss on line 172, at column 3
12/20/22 2:15:53: style.scss - Undefined variable $headings-font-family: style.scss on line 181, at column 4
12/20/22 2:16:07: style.scss - Undefined variable $headings-font-family: style.scss on line 181, at column 4
12/20/22 2:16:53: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:24: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:29: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:33: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:33: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:35: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:35: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:39: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:39: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:17:39: style.scss - Undefined variable $h1-size: style.scss on line 185, at column 4
12/20/22 2:18:35: style.scss - Undefined variable $h1-size: style.scss on line 184, at column 4
12/20/22 2:18:39: style.scss - Undefined variable $h1-size: style.scss on line 184, at column 4
12/20/22 2:20:35: style.scss - Undefined variable $h1-line-height: style.scss on line 185, at column 4
12/20/22 2:20:39: style.scss - Undefined variable $h1-line-height: style.scss on line 185, at column 4
12/20/22 2:21:39: style.scss - Undefined variable $hilitecolor: style.scss on line 188, at column 14
12/20/22 2:21:57: style.scss - Undefined variable $hilitecolor: style.scss on line 188, at column 14
12/20/22 2:21:57: style.scss - Undefined variable $hilitecolor: style.scss on line 188, at column 14
12/20/22 2:21:58: style.scss - Undefined variable $hilitecolor: style.scss on line 188, at column 14
12/20/22 2:22:35: style.scss - Undefined variable $smallfont-size: style.scss on line 260, at column 6
12/20/22 2:22:58: style.scss - Undefined variable $smallfont-size: style.scss on line 260, at column 6
12/21/22 10:28:36: 0_raster.scss - Undefined variable $h2: 0_raster.scss on line 34, at column 11
12/21/22 10:29:16: 0_raster.scss - Undefined variable $h2: 0_raster.scss on line 34, at column 11
12/21/22 10:29:16: 0_raster.scss - Undefined variable $h2: 0_raster.scss on line 34, at column 11
12/21/22 10:29:16: 0_raster.scss - Undefined variable $grau: 0_raster.scss on line 42, at column 8
12/21/22 10:29:56: 0_raster.scss - Undefined variable $grau: 0_raster.scss on line 42, at column 8
12/21/22 10:29:56: 0_raster.scss - Undefined variable $grau: 0_raster.scss on line 42, at column 8
12/21/22 10:29:56: 0_raster.scss - Undefined variable $navcolor: 0_raster.scss on line 54, at column 4
Call Stack:
#0 mixin menuitem 0_raster.scss on line 146
#1 mixin navbar 0_raster.scss on line 162
12/21/22 10:30:56: 0_raster.scss - Undefined variable $navcolor: 0_raster.scss on line 54, at column 4
Call Stack:
#0 mixin menuitem 0_raster.scss on line 146
#1 mixin navbar 0_raster.scss on line 162
12/21/22 10:31:35: 0_raster.scss - Undefined variable $lichtgrau: 0_raster.scss on line 77, at column 4
Call Stack:
#0 mixin dropdownmenu 0_raster.scss on line 147
#1 mixin navbar 0_raster.scss on line 162
12/21/22 10:31:35: 0_raster.scss - Undefined variable $lichtgrau: 0_raster.scss on line 77, at column 4
Call Stack:
#0 mixin dropdownmenu 0_raster.scss on line 147
#1 mixin navbar 0_raster.scss on line 162
12/21/22 10:31:35: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 165, at column 3
12/21/22 10:31:52: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 165, at column 3
12/21/22 10:31:52: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 165, at column 3
12/21/22 10:31:52: 0_raster.scss - Undefined variable $line-height: 0_raster.scss on line 166, at column 3
12/21/22 10:32:14: 0_raster.scss - Undefined variable $line-height: 0_raster.scss on line 166, at column 3
12/21/22 10:32:14: 0_raster.scss - Undefined variable $line-height: 0_raster.scss on line 166, at column 3
12/21/22 10:32:14: 0_raster.scss - Undefined variable $letterspacing: 0_raster.scss on line 167, at column 3
12/21/22 10:33:14: 0_raster.scss - Undefined variable $font-color: 0_raster.scss on line 169, at column 3
12/21/22 10:34:03: 0_raster.scss - Undefined variable $schwarz: 0_raster.scss on line 169, at column 3
12/21/22 10:34:03: 0_raster.scss - Undefined variable $schwarz: 0_raster.scss on line 169, at column 3
12/21/22 10:34:04: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:09: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:13: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:15: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:17: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:17: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:17: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:18: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:34: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:34: 0_raster.scss - Undefined variable $dunkelgrau: 0_raster.scss on line 215, at column 4
12/21/22 10:34:34: 0_raster.scss - Undefined variable $weiss: 0_raster.scss on line 256, at column 6
12/21/22 10:34:45: 0_raster.scss - Undefined variable $weiss: 0_raster.scss on line 256, at column 6
12/21/22 10:34:45: 0_raster.scss - Undefined variable $weiss: 0_raster.scss on line 256, at column 6
12/21/22 10:34:45: 0_raster.scss - Undefined variable $hilite-color: 0_raster.scss on line 262, at column 18
12/21/22 10:34:49: 0_raster.scss - Undefined variable $hilite-color: 0_raster.scss on line 262, at column 18
12/21/22 10:34:49: 0_raster.scss - Undefined variable $hilite-color: 0_raster.scss on line 262, at column 18
12/21/22 10:34:49: 0_raster.scss - Undefined variable $hilite-color: 0_raster.scss on line 262, at column 18
02/10/23 2:50:24: 1_elements.scss - Undefined variable $hellgrau: 1_elements.scss on line 5, at column 41
02/10/23 2:50:24: 1_elements.scss - Undefined variable $hellgrau: 1_elements.scss on line 5, at column 41
03/31/23 10:26:37: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:27:22: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:27:22: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:27:24: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:27:25: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:27:40: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:27:55: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:03: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:03: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:03: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:03: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:05: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:21: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:21: 0_raster.scss - Undefined variable $font-size: 0_raster.scss on line 170, at column 3
03/31/23 10:28:21: 0_raster.scss - Undefined variable $line-height: 0_raster.scss on line 171, at column 3
03/31/23 10:28:31: 0_raster.scss - Undefined variable $line-height: 0_raster.scss on line 171, at column 3
03/31/23 10:28:32: 0_raster.scss - Undefined variable $line-height: 0_raster.scss on line 171, at column 3
03/31/23 10:34:16: 0_raster.scss - Undefined variable $schriftgrosse: 0_raster.scss on line 26, at column 1
03/31/23 10:34:23: 0_raster.scss - Undefined variable $schriftgrosse: 0_raster.scss on line 26, at column 1
03/31/23 10:34:23: 0_raster.scss - Undefined variable $schriftgrosse: 0_raster.scss on line 26, at column 1
03/31/23 10:34:23: 0_raster.scss - Undefined variable $schriftgrosse: 0_raster.scss on line 26, at column 1
03/31/23 10:35:23: 0_raster.scss - Undefined variable $schriftgrosse: 0_raster.scss on line 26, at column 1
03/31/23 10:36:23: 0_raster.scss - Undefined variable $schriftgrosse: 0_raster.scss on line 26, at column 1
03/31/23 1:16:24: 0_raster.scss - Undefined variable $linkcolor: 0_raster.scss on line 185, at column 4
03/31/23 1:16:24: 0_raster.scss - Undefined variable $linkcolor: 0_raster.scss on line 185, at column 4
07/06/23 3:00:45: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
07/06/23 3:00:45: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
07/06/23 3:00:45: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
07/06/23 3:00:45: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
07/06/23 3:00:45: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
07/06/23 3:00:45: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
07/06/23 3:00:59: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
07/06/23 3:00:59: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
07/06/23 3:01:06: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
07/06/23 3:01:06: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
07/06/23 3:01:07: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
07/06/23 3:01:07: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:08:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:08:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:09:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:09:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:10:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:10:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:12:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:12:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:14:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:14:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:16:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:16:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:18:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:18:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 10:20:21: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 10:20:21: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 12:03:15: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 12:03:15: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 12:03:18: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 12:03:18: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 12:04:18: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 12:04:18: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 12:06:18: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 12:06:18: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 12:08:18: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 12:08:18: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
09/04/23 12:10:18: 0_raster.scss - Undefined variable $standardfarben: 0_raster.scss on line 2, at column 1
09/04/23 12:10:18: 1_elements.scss - Undefined variable $lichtgrau: 1_elements.scss on line 6, at column 41
